job_title,job_ad_details,nation_short_desc
Quad Tipper Driver,"<HTML><p>Quality Staff are searching for the best truck and trailer tipper operator for our growing international client here is Adelaide!</p><p>This exciting opportunity is casual to begin and permanent opportunities are available for the right candidate! Working Monday to Friday, your hours of work will be 6.00am until required (4.00-6.00pm finish) and based from their Golden Grove site.</p><p>We are currently looking for a driver who has already driven truck and trailer tippers and possess the following qualities:</p><ul><li>HC Licence</li><li>Ability to reverse a quad axle dog trailer (Absolutely Essential)</li><li>Proactive attitude towards maintaining the cleanliness of your truck</li><li>Good customer service skills when dealing with our customers and the general public</li><li>Ability to undergo and pass pre-employment functional assessments and drug and alcohol screening</li><li>Ability to undergo and pass national criminal check/clearance<br /> Recent, work related, contactable work references </li></ul><p> </p><center>To apply online, please click on the appropriate link below. Alternatively, for a confidential discussion, please contact Ayme Leech on 08 8338 4888.</center></HTML>  $24.78 - Plenty of Hours - Long Term Role",AUS
Draftsperson / Project Engineer,"<HTML><p><strong>THE WHO, THE WHAT AND THE WHERE</strong></p> <br /> <p>Our client is a well-established, custom industrial and commercial fabrication provider based north of Perth. They pride themselves on providing innovative solutions and quality workmanship. The company is comprised of a range of experts in their field and everyone is passionate about customer service.</p> <br /> <p><strong>WHAT&rsquo;S INVOLVED?</strong></p> <br /> <p>Working in the Projects team, alongside managers and mechanical engineers, your role will be to convert design briefs into fully detailed workshop drawings, ensure quality standards are met, and projects run on schedule. Your job will involve:</p> <p> </p><ul> <li>Liaising with engineers and other members of the project team to plan designs for products</li> <li>Create 3D designs using CAD software</li> <li>Identify functionality issues and redesign products</li> <li>Ensure final designs meet Client specifications</li> <li>Ensure regulatory compliance of designs</li> <li>Develop manuals for designed products</li> <li>Coordinate projects including budgeting, scheduling and monitoring</li> <li>Undertake product quality control</li> </ul> <strong>DO YOU HAVE WHAT IT TAKES?</strong><p></p> <br /> <p>We are looking for an organised, analytical, mathematically-minded professional, who is through, reliable and works well in a team. You will also need:</p> <p> </p><ul> <li>Experience using AutoCAD and/or Inventor</li> <li>Good MS Office skills, including Excel and Word</li> <li>Experience in sheet metal fabrication</li> <li>An Australian-recognised Cert III (or higher) in drafting or equivalent</li> <li>An understanding of laser-cutting procedures and metals processing</li> <li>Familiarity with drafting standards (e.g. AS1100)</li> <li>Excellent communication abilities, especially the ability to instruct and articulate instructions in writing</li> </ul> <strong>THIS SOUNDS PERFECT! WHERE DO I SIGN UP?</strong><p></p> <br /> <p>If this sounds like the job for you <strong>click 'Apply'</strong> to submit your application now! Our preferred resume format is MS Word.</p> <br /> <p><strong>We might seem a little quirky... but we take your privacy very seriously.</strong> Your application is highly confidential and will not be discussed with anyone outside of Itch Recruitment without your permission. For more information about what we do with your information, please see the Itch Recruitment website.</p> <br /> <p>For interesting business, HR and employment news, our latest roles and some amusing pictures thrown in for good measure,&nbsp;<strong>find us on LinkedIn, Facebook, Instagram and Twitter.</strong></p></HTML>",AUS
Administration Officer,"<p> </p><ul><li>Commencing ASAP</li><li>Monday to Friday 8.00am-4.30pm</li><li>$36.00 per hour</li><li>Singleton</li><li>Energetic and dynamic team</li><li>Potential progression to a permanent office supervisor role</li></ul><p>Our client is seeking a dedicated, motivated Administration Assistant to support the day to operations of a busy Transportation company. This is a casual role which has the potential to turn permanent after initial placement and training is complete. The ideal candidate will possess:<br /> </p><ul><li>Previous experience working within administrative roles</li><li>Leadership skills</li><li>Must have strong communication skills both written and verbal</li><li>High degree of organisational skills and the ability to multi-task, learn quickly and be proactive</li></ul><p><strong>Key Duties and Responsibilities</strong><br /> </p><ul><li>Provide quality administration support to the business</li><li>Provide professional customer service</li><li>Accounts payable</li><li>Accounts receivable</li><li>Billing and reconciliations</li><li>Payroll processing - Enterprise Agreement knowledge an advantage</li><li>Accounts support and Accounts payable</li><li>Data entry</li><li>General clerical support duties</li></ul><p><strong>Required Skills/Qualification</strong></p><ul><li>SAP and sales force knowledge an advantage</li><li>Accounts experience - no formal qualification needed</li><li>Excellent verbal communication</li><li>Excellent organisational skills</li><li>IT Literacy</li><li>Administration Experience</li><li>Microsoft Office</li></ul><p>This is great opportunity for any candidate looking for stability and security in the administrative industry. If you would like to be considered for the role, please apply now or email Hannah Limond at hlimond@lpcommercial.com.au<br /> <br /> <br /> <br /> <br /> <br /> </p><p>LP Consulting Services | https://www.labourpower.com/labourpower-consulting-services <br /></p><p></p>",AUS
Outside School Hours Care Assistant Manager,"<p><strong>About us</strong></p><p>Grand Avenue State School Outside School Hours Care, operated by the Grand Avenue State School P&amp;C Association, is currently looking to fill the position of an Assistant Manager. The purpose this role to assist the Manager with the efficient and effective operation and overall strategic, financial and operational management of the service.&nbsp;</p><p>As part of the leadership team, you will have the opportunity to grow and develop our service which caters for up to 225 students.&nbsp;</p><p>If you are enthusiastic about creating positive experiences for children while contributing to their overall well-being and development, this opportunity at Grand Avenue State School OSHC could be an excellent fit for you.</p><p><strong>Tasks &amp; responsibilities</strong></p><ul><li>Be responsible for the overall management and administration of the service;</li><li>Supervise the implementation of developmentally appropriate programs for children;</li><li>Recruit staff in accordance with relevant regulations;</li><li>Maintain day-to-day accounts and handle all administrative matters;</li><li>Ensure that the service adheres to all relevant regulations and statutory requirements;</li><li>Ensure that the service meets or exceeds quality assurance requirements;</li><li>Liaise with families and outside agencies;</li><li>Formulate and evaluate annual budgets;</li><li>Liaise with management committees as appropriate;</li><li>Provide professional leadership and development to staff;</li><li>Develop and maintain policies and procedures for the service; and</li><li>Act as the Nominated Supervisor, if appointed.<br />&nbsp;</li></ul><p><strong>Qualifications &amp; experience</strong></p><ul><li>Holds qualifications approved by ACECQA in Qld such as OSHC, child care, speech pathology, psychology, occupational therapy, nursing, the arts, education.&nbsp;</li><li>Hold a First Aid, CPR, Anaphylaxis and Asthma qualifications or Willingness to immediately undertake appropriate training</li><li>It is desirable to have at least 2 years experience in a similar role</li></ul><p><strong>Essential Criteria:</strong></p><ul><li>Excellent interpersonal, communication and organisational skills;</li><li>Ability to prioritise tasks, and use knowledge and initiative to problem solve;</li><li>Strong work ethic, with an ability to work collaboratively;&nbsp;</li><li>Commitment to service and performance excellence;&nbsp;</li><li>Understanding of workplace health and safety requirements; and</li><li>Hold a valid Blue Card.</li></ul><p><br />&nbsp;</p>",AUS
Administration Assistant (Business Development),"<p>  <strong> The Opportunity</strong></p><p>We are currently looking to recruit an Administrative Assistant to  support our Ashurst Service Central (ASC) - Client team on a permanent  basis in Brisbane.</p><p>Operating as an integral member of the ASC-Client team, you will  provide proactive and effective administrative support to our Brand,  Marketing, Communications (BMC) and Business Development (BD) Teams  and other areas within the business.</p><p>Working alongside counterparts in Glasgow some of your main  responsibilities will be (but not limited to):</p><ul>  <li>Preparation and maintenance of marketing material, including    website updates, email marketing, bids and tender documents and    client reports;</li>  <li>Assistance with event invitations, attendee lists, online event    setup and recording and event feedback surveys;</li>  <li>Forming positive working relationships, particularly with the BD,    BMC and ASC teams.</li></ul><p>A full job description including a breakdown of responsibilities can  be found either below or attached to the role on our careers page www.ashurst.com/en/careers</p><p>  <strong> Essential Skills &amp; Experience</strong></p><p>To be successful in this role you will have the following skills or experience:</p><ul>  <li>Proficient with Microsoft Office products (Word, PowerPoint and Excel)</li>  <li>Excellent verbal and written communication - able to write    clearly, concisely and to a high standard, with an excellent grasp    of grammar and punctuation</li>  <li>Demonstrated attention to detail and accuracy</li>  <li>Excellent organisational skills</li>  <li>Collaborative, team-orientated approach with the flexibility and    willingness to go the extra mile</li></ul><p>  <strong>About Ashurst</strong></p><p>Ashurst is a leading progressive global law firm with a rich history,  celebrating it's bicentenary in 2022. We are proud of our history and  are future-focused, having expanded into new technologies through our  NewLaw division, Ashurst Advance, and our consulting arm. Our in-depth  understanding of our clients and commitment to providing excellent  standards of service have seen us become a trusted adviser to local  and global corporates, financial institutions and governments in all  areas of commercial law. To find out more please visit www.ashurst.com.</p><p>  <strong>What makes Ashurst a great place to work?</strong></p><p>We offer you all the things you should expect from an international  law firm, some of which include:</p><ul>  <li>Competitive remuneration with the flexibility to reward high performance;</li>  <li>Flexible working;</li>  <li>Complimentary gym memberships;</li>  <li>Corporate health plans;</li>  <li>Global professional development offering for all employees; and</li>  <li>An industry-leading programme that celebrates diversity and inclusion.</li></ul><p>We are committed to delivering positive impacts to our communities  through our Social Impact programme, with a strong emphasis on working  with First Nations people through our pro bono practice.</p><p>We aim to recruit, retain and promote the best people from the widest  possible talent pools. We are committed to offering a safe and  welcoming environment for all employees to ensure they are supported  to work at their best.</p><p>Beyond this, what sets Ashurst apart from others is our global  strength, our drive to innovate and collaborate, and our commitment to  excellence. It is these values that make Ashurst a unique place to work.</p><p>Brisbane 4000</p>",AUS
Human Resources Advisor,"<p><strong>Job Description</strong></p>  <p>Do you have a passion for shaping and influencing company culture? If so, we want you to join our team! &nbsp;</p>  <p>We’re looking for an HR Advisor to provide expert advice, pragmatic guidance, and support across a broad range of people-related matters.</p>  <p>The successful applicant will be responsible for performance management, disciplinary processes, long term injury management and capacity cases, internal investigations, grievance management, mobilisation and demobilisation support, and structural reviews. </p>  <p>Reporting to the National Workplace Relations Manager and based out of our Perth Support Centre,&nbsp;the successful candidate will need to excel in a matrix structure engaging with operational leaders, HR Business Partners, employees, subject matter experts in a variety of fields and HR&nbsp;Advisory peers across Australia.&nbsp;&nbsp;</p>  <p><strong>Who are we looking for? &nbsp;</strong></p>  <p>We’re looking for someone who thrives in fast-paced, high-volume environments; there’s never a dull moment at Sodexo.  &nbsp;</p>  <p>The successful applicant will be highly&nbsp;resilient, thrive in fast-paced&nbsp;and high-volume environments,&nbsp;and be able to pragmatically work through challenges.</p>  <p>To be successful, you’ll need: &nbsp;</p>  <p>Australian citizenship or full Australian working rights &nbsp;</p>  <p>Bachelor’s degree in human resources (or related field) &nbsp;</p>  <p>Previous experience in human resources (or related field) &nbsp;</p>  <p>Experience preparing and representing in external conciliations would be advantageous &nbsp;</p>  <p><strong> Why choose Sodexo? &nbsp;</strong></p>  <p>Sodexo is a people business, employing over half a million people worldwide and thousands here in Australia. Our employees, who personify Sodexo's unique values of Service Spirit, Team Spirit and Spirit of Progress, are our greatest asset through their commitment and dedication. &nbsp;</p>  <p>We believe the more diverse we are, the stronger we are. No matter your background, we will do all we can to help you thrive. We are committed to promoting equal opportunities, valuing diversity, and creating an inclusive working environment for all our employees.   &nbsp;</p>  <p>At Sodexo, we are a proud Equal Opportunity Employer and encourage applications from all applicants regardless of age, race, sex, ethnicity, religion and beliefs and people with disabilities. &nbsp;</p>  <p>We offer a competitive salary, many development opportunities and an outstanding benefits and recognition program!  &nbsp;</p>  <p><strong>How to apply? &nbsp;</strong></p>  <p>If you are interested in joining the Sodexo team and meet the minimum criteria outlined above, please apply with your resume detailing relevant employment experience  and availability.  &nbsp;</p>  <p>One of our friendly recruiters will contact shortlisted candidates for a phone interview. This will also be your opportunity to ask any questions you may have. &nbsp;</p>  <p>Submit your application today and become part of the Sodexo family! </p>",AUS
Business Analyst,"Company description:<br /><br /><p>QinetiQ Pty Ltd</p><br /><br />Job description:<br /><br /><p>We are currently accepting applications for a Business Analyst to join our Oracle ERP Implementation team. The successful candidate will play a key role in QinetiQ's Oracle Cloud ERP project where you will be responsible for managing stakeholders, facilitating workshops, defining As-Is/To-Be process mapping, validating key requirements and processes and ensuring business buy in and understanding.</p><p>You will be process minded, possess excellent communication, analytical and problem solving skills and will have a background in Finance, Procurement, Manufacturing and Supply Chain with experience in the implementation of ERP systems and technologies.</p><p>We are flexible on location, this position can be based out of SA, ACT or VIC.</p><p> As <strong>Business Analyst</strong> you will be accountable for:</p><ul> <li>Leading and facilitating discovery workshops and interviews to elicit and validate business and technology requirements, processes and workflows;</li> <li>Creating and maintaining traceability between requirements and implemented solutions throughout project lifecycles;</li> <li>Participating in analysis and design workshops to develop detailed user cases and user stories;</li> <li>Identifying, providing guidance and recommendations for effective business improvement initiatives across QinetiQ's processes and systems;</li> <li>Undertaking business and technology impact assessments to define stakeholder needs, objectives, challenges and risks;</li> <li>Contributing to and guiding positive change implementation; and</li> <li>Developing and maintaining working relationships with key stakeholders, including internal teams and external vendors and suppliers.</li> </ul><p> To be successful in the role of <strong>Business Analyst</strong> you will need to bring with you:</p><ul> <li>Solid experience of working in a Business Analyst role within major business change and transformation projects;</li> <li>Strong understanding of financial practices including associated area of procurement, manufacturing and supply chain;</li> <li>Experience working on the implementation and rollout of ERP/Finance platforms;</li> <li>Deep experience in As-Is and To-Be Business Process modelling using industry standard tools and techniques;</li> <li>Excellent skills in requirements gathering and documentation, including writing user stories and acceptance criteria.</li> <li>Experience in progressing business change with process improvement and quality assurance;</li> <li>High level of analytical and organisational skills with good attention to detail and ability to think laterally and conceptually;</li> <li>Excellent verbal and written communication skills with the ability to effectively collaborate with stakeholders at all levels; and</li> </ul><p>Whilst not essential, a tertiary qualification would be advantageous.</p><p><strong>Candidates will need to be eligible to obtain an Australian Government Security Clearance. </strong></p><p>Whilst applications must be made online, confidential enquiries are welcome and may be directed to Roz Byrne, Talent Acquisition Lead via email: <a href=""mailto:rbyrne@qinetiq.com.au"">rbyrne@qinetiq.com.au</a></p><p><strong>Applications will close on the 28th February 2025</strong></p><p> </p><br /><br />Profile description:<br /><br /><p> </p><p>QinetiQ employs more than 8500 people in more than 50 locations around the world, offering our customers premier expertise in advice, services and creative technology-based products.</p><p> </p><p>QinetiQ Australia, part of the global QinetiQ group, provides technological and scientific expertise to help customers protect and advance their vital interests. As an innovative science and technology company, we help solve some of our customers' most challenging problems. Our determination to deliver and improve today and anticipate and shape tomorrow, makes QinetiQ a very exciting, rewarding and respected place to work and learn.</p><br /><br />We offer:<br /><br /><p>Some of our benefits include:</p><ul> <li>Individual professional development fund</li> <li>Flexible work</li> <li>Purchased leave program and loyalty leave</li> <li>Up to 18 weeks paid parental leave</li> <li>Annual incentive scheme</li> <li>Complimentary salary continuance insurance</li> <li>Annual volunteering leave with Operation Give Back</li> <li>Relaxed dress code </li> </ul><p>A full list of our employee benefits and further information can be found here: </p><p>https://www.qinetiq.com/en-au/careers/benefits</p><p> #LI-RB</p><p>#LI-hybrid</p><p> </p>",AUS
B1/B2 LAME,"<p>An opportunity has become available for an Aircraft Maintenance Engineer to join our Perth based team on a permanent basis.&nbsp;</p><p><strong>Essential requirements&nbsp;include (but are not limited to) the following:</strong></p><ul><li>Hold a valid and current Australian Aircraft Maintenance Engineer licence, E190, E170 or E120 Type Ratings desirable but not essential.</li><li>Demonstrated time management skills.</li><li>High level of communication skills – written and verbal.</li><li>Demonstrated problem solving ability.</li><li>Ability to work within a team environment.</li><li>Computer skills – Airworthiness Data – CASA; Company network.</li><li>Must have the ability to obtain and hold an ASIC.</li><li>Must have the ability to obtain and hold an Airside Drivers Licence.</li><li>An understanding of the Civil Aviation Act and Regulations applicable to Certificate of Approvals.</li><li>Hold a current Passport.</li><li>Human Factors Training.</li></ul><p><strong>Working Conditions:</strong></p><ul><li>Flexible working hours, opportunity for daytime or afternoon shift may be required to cover aircraft operational times.</li><li>Travel may be required to attend defects and break downs on short notice.</li></ul><p>Airnorth offers a range of employee benefits including discounts on international travel, health insurance, gym memberships and an employee assistance program.</p><p>To apply for this position, you must have the legal right to live and work in Australia.&nbsp;</p><p>As shortlisting will commence immediately, we reserve the right to close this position earlier than stated.&nbsp;</p>",AUS
Property Manager - Melbourne's cosmopolitan inner bayside,"<HTML><p>We are currently seeking an experienced &amp; professional Property Manager to join a fantastic agency in <strong><em>Melbourne's inner Bayside</em></strong>. Working as part of a small team you will be part of a growing business that prides themselves on delivering outstanding service to their clients. The role will see you managing a tidy portfolio capped at 160 properties in an end to end capacity.<br> <br> We are looking for a highly capable candidate who has at least 2 years Property Management experience with outstanding communication, organisational skills. You must have the passion for the industry and a good sense of humour.<br> <br> <strong>As Property Manager, your role will include:</strong></p><ul><li>Managing a portfolio of 160 properties</li><li>Liaising with tenants/landlords</li><li>Leasing properties</li><li>Attending VCAT when required</li><li>Organising repairs &amp; maintenance</li></ul><p><br> <strong>The successful candidate will have:</strong></p><ul><li><em>Outstanding written and verbal communication skills</em></li><li><em>Previous Property Management experience</em></li><li><em>A commitment to delivering high level customer service</em></li><li><em>Corporate presentation</em></li><li><em>Embrace modern systems &amp; procedures</em></li></ul><p><br> <strong>Eligibility Criteria</strong></p><ul><li><em>A current Agents Representative Certificate is a <strong>MUST</strong> (Legal requirement)</em></li><li><em>At least 2 years Property Management experience</em></li><li><em>Reliable car</em></li><li><em>Drivers licence</em></li></ul><p><br> You will be a friendly person with a strong customer service focus and who can work within a team environment or autonomously.</p><p><br> For a confidential discussion about this exciting opportunity please call/SMS <strong>Clare Verrall</strong> on <strong>0414 990 983</strong> or simply click <strong>'Apply'</strong><br> <br> <em>With over eight years experience in the Real Estate industry in Property Management/Real Estate Training &amp; 5 years previous experience as a Real Estate Recruitment Consultant, Clare now brings her extensive knowledge of the Real Estate industry as a Partner at Denovo. Having worked in Property Management herself, Clare really understands what candidates are looking for in a new opportunity &amp; works closely with them to guide them through the process of securing the ideal role.</em><br> <br> <strong><em>Want to know more about our specialist Real Estate Recruitment Consultant Clare?</em></strong><br> <em>Check out her blog:</em> <em><strong>www.clareverrall.com</strong></em><br> <em>Linkedin:</em> <em><strong>http://linkd.in/vmKP5G</strong></em></p></HTML> <HTML>160 Properties with leasing & admin support Inner Bayside location - high end portfolio of $650pw+ properties No Saturday work! </HTML> $65k - $72k p.a.",AUS
Customer Service Specialist - Work From Home,"<p><strong>About the role</strong>&nbsp;</p>  <p>Concentrix is an award-winning global CX solutions company that creates amazing experiences for the world’s best brands and their customers. We’re an ambitious team of innovators, risk-takers, and game-changers: the kind of folks who thrive on solving complex problems.</p>  <p>Join one of our top-tier clients that is leading the technology industry through products and innovation across the world. Due to an increase in customer&nbsp;demand,&nbsp;we have a fantastic opportunity as a Customer Service Specialist in&nbsp;assisting customers across a range of enquiries.&nbsp;&nbsp;</p>  <p><strong>Benefits:</strong></p> <ul> <li>Work from home&nbsp;</li> <li>Equipment provided: (Built-in desktop computer, keyboard, mouse, headset)</li> <li>2 Weeks Paid Training</li></ul> <p><strong>Key responsibilities:</strong>&nbsp;</p> <ul> <li>Assist customer’s purchasing for their business.</li> <li>Build rapport with customers and provide excellent customer service.</li> <li>Handle inbound sales enquiries from customers looking to purchase client products.</li> <li>Liaise with other departments to assist customers with a broad range of queries.</li></ul> <p>&nbsp;</p> <ul> <li><strong>Start Date:&nbsp;</strong>04 January 2022</li> <li><strong>Training:&nbsp;</strong>Up to 2 weeks of training</li> <li><strong>Contract Term: 1</strong>&nbsp;Month<strong> </strong>Max Term contract&nbsp; with possible month to month&nbsp;extension</li> <li><strong>Roster:&nbsp;</strong>6 am to 9 pm,&nbsp;Monday&nbsp;to&nbsp;Sunday</li> <li><strong>Hourly Pay Rate:&nbsp;</strong>$22.78 per hour &#43; Super &#43; Penalties</li> <li>Ability to visit our&nbsp;<strong>Brisbane CBD</strong>&nbsp;office when/if required i.e. to pick up equipment.</li> <li><strong>Wired broadband connection </strong>with fast and reliable internet speed (min. 10MB DL, 5MB UP)</li> <li><em><strong>Check your Speed before applying!&nbsp;https://www.speedtest.net/</strong></em></li> <li>Must have a&nbsp;<strong>private/secure</strong>&nbsp;and safe workspace available (e.g. spare room, office, etc.)</li></ul> <p>&nbsp;</p>  <p>Apply today and find out why 270,000&#43; people around the globe choose to call Concentrix home.</p>  <p><em>Successful candidates will be required to successfully complete pre-employment checks. All applicants must be at least 18 years of age.</em></p>  <p><strong>Learn more:</strong></p>  <p><strong>Concentrix</strong> on Facebook | <strong>Concentrix&nbsp;</strong>on Instagram | <strong>www.concentrix.com</strong>&nbsp;</p>  <p>&nbsp;</p>",AUS
